DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
18.13:26:18,0,0.0,1.1601,0.0,33210,14716,9213,5503,1.2467,0.0,32741,33310,33.938,96.083,84.2,50005,45459,25060,534,-7,1,18938,176.5,0.0
18.13:26:28,10,0.0,1.1607,0.0,33121,14710,9204,5506,1.2467,0.0,32740,33314,33.969,96.084,84.2,50007,45467,25056,537,-6,1,18938,176.5,0.0
18.13:26:38,20,0.0,1.1607,0.0,33183,14703,9177,5526,1.2481,0.0,32720,33323,33.969,96.084,84.2,50002,45459,25046,526,-6,1,18938,176.5,0.0
18.13:26:48,30,0.0,1.1601,0.0,33071,14723,9204,5519,1.2481,0.0,32723,33335,33.969,96.083,84.2,49999,45451,25015,534,-6,1,18938,176.5,0.0
18.13:26:58,40,0.0,1.1601,0.0,33068,14730,9201,5529,1.2467,0.0,32724,33328,33.969,96.083,84.2,50001,45458,25033,541,-6,1,18938,173.4,0.0
18.13:27:08,50,0.0,1.1601,0.0,33133,14697,9202,5495,1.2467,0.0,32744,33293,33.938,96.084,84.2,49997,45449,25057,540,-7,1,18938,176.5,0.0
18.13:27:18,60,0.0,1.1601,0.0,33062,14709,9197,5512,1.2467,0.0,32740,33282,33.969,96.083,84.2,50002,45449,25013,535,-6,1,18938,176.5,0.0
18.13:27:28,70,0.0,1.1601,0.0,33224,14714,9207,5507,1.2467,0.0,32714,33318,33.969,96.083,84.2,49998,45448,25046,533,-6,1,18938,173.4,0.0
18.13:27:38,80,0.0,1.1607,0.0,33103,14718,9202,5516,1.2467,0.0,32711,33289,33.969,96.085,84.2,49998,45456,25033,534,-6,1,18938,176.5,0.0
18.13:27:48,90,0.0,1.1601,0.0,32947,14714,9211,5503,1.2481,0.0,32731,33271,33.938,96.083,84.2,50008,45463,25050,539,-7,1,18938,179.6,0.0
18.13:27:58,100,0.0,1.1607,0.0,33106,14707,9194,5513,1.2481,0.0,32717,33299,33.938,96.084,84.2,50003,45455,25041,530,-7,1,18938,173.4,0.0
18.13:28:08,110,0.0,1.1601,0.0,33082,14698,9197,5501,1.2467,0.0,32698,33302,33.938,96.083,84.2,50009,45455,25001,541,-7,1,18938,179.6,0.0
18.13:28:18,120,0.0,1.1601,0.0,33188,14725,9209,5516,1.2467,0.0,32738,33276,33.906,96.083,84.2,50020,45464,25048,539,-8,1,18938,176.5,0.0
18.13:28:28,130,0.0,1.1614,0.0,33142,14698,9190,5508,1.2467,0.0,32716,33268,33.906,96.085,84.2,50013,45465,25060,549,-8,1,18938,179.6,0.0
18.13:28:38,140,0.0,1.1607,0.0,33206,14712,9221,5491,1.2481,0.0,32717,33325,33.875,96.084,84.2,50016,45474,25031,541,-9,1,18938,173.4,0.0
18.13:28:48,150,0.0,1.1601,0.0,33038,14728,9204,5524,1.2467,0.0,32688,33315,33.875,96.083,84.2,50020,45476,24950,542,-9,1,18938,176.5,0.0
18.13:28:58,160,0.0,1.1601,0.0,33007,14711,9213,5498,1.2467,0.0,32728,33298,33.906,96.083,84.2,50019,45470,25042,531,-8,1,18938,176.5,0.0
18.13:29:08,170,0.0,1.1607,0.0,33106,14701,9209,5492,1.2481,0.0,32729,33288,33.875,96.085,84.2,50026,45479,25068,542,-9,1,18938,176.5,0.0
18.13:29:18,180,0.0,1.1601,0.0,33051,14730,9205,5525,1.2481,0.0,32703,33323,33.906,96.084,84.2,50019,45481,25015,535,-8,1,18938,173.4,0.0
18.13:29:28,190,0.0,1.1607,0.0,33035,14725,9197,5528,1.2481,0.0,32710,33319,33.875,96.083,84.2,50020,45475,25005,533,-9,1,18938,176.5,0.0
18.13:29:38,200,0.0,1.1607,0.0,33031,14728,9208,5520,1.2467,0.0,32742,33302,33.875,96.083,84.2,50032,45477,25057,547,-9,1,18938,173.4,0.0
18.13:29:48,210,0.0,1.1607,0.0,32952,14722,9195,5527,1.2481,0.0,32761,33294,33.875,96.085,84.2,50030,45478,25134,534,-8,1,18938,176.5,0.0
18.13:29:58,220,0.0,1.1601,0.0,33163,14727,9208,5519,1.2481,0.0,32699,33296,33.875,96.084,84.2,50024,45472,24989,530,-9,1,18938,176.5,0.0
18.13:30:08,230,0.0,1.1607,0.0,32940,14726,9204,5522,1.2481,0.0,32730,33298,33.875,96.084,84.2,50027,45481,25058,520,-9,1,18938,173.4,0.0
