DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.12:42:58,0,0.0,1.3774,0.0,32941,14962,8617,6345,1.3097,0.0,34031,29824,33.688,95.431,84.2,49030,46256,33009,512,0,0,19781,179.7,0.0
02.12:43:08,10,0.0,1.3781,0.0,33278,14939,8599,6340,1.3097,0.0,33995,29832,33.719,95.431,84.2,49011,46263,32945,522,0,0,19781,179.7,0.0
02.12:43:18,20,0.0,1.3788,0.0,33108,14948,8579,6369,1.3097,0.0,33982,29816,33.719,95.431,84.20100000000001,49008,46246,32888,530,0,0,19781,182.8,0.0
02.12:43:28,30,0.0,1.3781,0.0,33284,14939,8588,6351,1.3097,0.0,33967,29797,33.719,95.431,84.2,49008,46252,32831,532,0,0,19781,176.6,0.0
02.12:43:38,40,0.0,1.3774,0.0,33201,14948,8594,6354,1.3097,0.0,34016,29803,33.719,95.431,84.2,49018,46251,33011,519,0,0,19781,179.7,0.0
02.12:43:48,50,0.0,1.3781,0.0,33308,14926,8596,6330,1.3111,0.0,34016,29808,33.688,95.431,84.2,49010,46249,32895,523,0,0,19781,179.7,0.0
02.12:43:58,60,0.0,1.3795,0.0,33207,14929,8588,6341,1.3097,0.0,34008,29807,33.688,95.431,84.2,49014,46247,32956,534,0,0,19781,176.6,0.0
02.12:44:08,70,0.0,1.3774,0.0,33428,14948,8599,6349,1.3097,0.0,34005,29817,33.688,95.431,84.2,49015,46254,32945,542,0,0,19781,179.7,0.0
02.12:44:18,80,0.0,1.3774,0.0,32971,14955,8581,6374,1.3097,0.0,34018,29829,33.656,95.431,84.2,49011,46253,32973,542,0,0,19781,179.7,0.0
02.12:44:28,90,0.0,1.3788,0.0,33379,14971,8628,6343,1.3097,0.0,34041,29816,33.656,95.431,84.2,49023,46253,33004,544,0,0,19781,179.7,0.0
02.12:44:38,100,0.0,1.3781,0.0,33318,14944,8603,6341,1.3097,0.0,34024,29788,33.656,95.431,84.20100000000001,49020,46237,32945,533,0,0,19781,176.6,0.0
02.12:44:48,110,0.0,1.3781,0.0,33241,14950,8623,6327,1.3097,0.0,34011,29797,33.656,95.431,84.2,49024,46253,32950,533,0,0,19781,179.7,0.0
02.12:44:58,120,0.0,1.3781,0.0,29071,14936,8621,6315,1.3097,0.0,34040,29805,33.625,95.431,84.2,49025,46262,32993,519,0,0,19781,179.7,0.0
02.12:45:08,130,0.0,1.3788,0.0,32978,14947,8599,6348,1.3097,0.0,34004,29807,33.656,95.431,84.2,49024,46247,32947,516,0,0,19781,179.7,0.0
02.12:45:18,140,0.0,1.3781,0.0,33129,14942,8614,6328,1.3097,0.0,33996,29841,33.625,95.431,84.2,49021,46271,32925,538,0,0,19781,176.6,0.0
02.12:45:28,150,0.0,1.3781,0.0,29120,14956,8618,6338,1.3111,0.0,34017,29814,33.625,95.43,84.2,49010,46256,32980,535,0,0,19781,182.8,0.0
02.12:45:38,160,0.0,1.3781,0.0,29243,14949,8593,6356,1.3097,0.0,34002,29816,33.656,95.431,84.2,49018,46265,32922,523,0,0,19781,182.8,0.0
02.12:45:48,170,0.0,1.3774,0.0,29075,14957,8597,6360,1.3111,0.0,34015,29824,33.656,95.431,84.2,49020,46274,32957,516,0,0,19781,179.7,0.0
