DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
22.20:01:54,0,0.0,0.9358,0.0,33159,14367,9755,4612,1.2193,0.0,32782,31578,34.094,85.759,83.863,38535,42471,29308,516,6,1,20793,0.0
22.20:02:04,10,0.0,0.9352,0.0,33078,14342,9750,4592,1.2193,0.0,32777,31603,34.125,85.76,83.863,38535,42472,29308,505,6,1,20793,0.0
22.20:02:14,20,0.0,0.9352,0.0,33033,14353,9754,4599,1.2193,0.0,32787,31588,34.094,85.759,83.863,38535,42479,29282,508,6,1,20793,0.0
22.20:02:24,30,0.0,0.9358,0.0,33230,14378,9772,4606,1.2193,0.0,32767,31574,34.094,85.759,83.863,38535,42471,29270,515,6,1,20793,0.0
22.20:02:34,40,0.0,0.9352,0.0,33131,14347,9758,4589,1.2193,0.0,32765,31565,34.125,85.759,83.86399999999999,38531,42463,29251,511,7,1,20793,0.0
22.20:02:44,50,0.0,0.9358,0.0,33174,14369,9766,4603,1.2193,0.0,32743,31564,34.125,85.759,83.86399999999999,38530,42462,29236,522,6,1,20793,0.0
22.20:02:54,60,0.0,0.9352,0.0,33119,14350,9764,4586,1.2193,0.0,32785,31621,34.125,85.759,83.863,38527,42470,29257,502,7,1,20793,0.0
22.20:03:04,70,0.0,0.9352,0.0,33136,14357,9753,4604,1.2193,0.0,32776,31562,34.094,85.759,83.863,38529,42469,29331,510,6,1,20793,0.0
22.20:03:14,80,0.0,0.9352,0.0,33167,14350,9732,4618,1.2193,0.0,32784,31569,34.125,85.759,83.86399999999999,38526,42461,29297,517,7,1,20793,0.0
22.20:03:24,90,0.0,0.9358,0.0,33110,14350,9756,4594,1.2193,0.0,32770,31538,34.094,85.76,83.863,38525,42468,29258,508,6,1,20793,0.0
22.20:03:34,100,0.0,0.9352,0.0,33158,14355,9746,4609,1.2193,0.0,32756,31559,34.094,85.759,83.863,38529,42468,29282,514,6,1,20793,0.0
22.20:03:44,110,0.0,0.9365,0.0,33066,14365,9755,4610,1.2193,0.0,32817,31552,34.063,85.76,83.863,38542,42476,29335,516,6,1,20793,0.0
22.20:03:54,120,0.0,0.9358,0.0,33185,14349,9764,4585,1.2193,0.0,32802,31569,34.063,85.76,83.863,38538,42477,29362,506,6,1,20793,0.0
22.20:04:04,130,0.0,0.9358,0.0,33081,14355,9753,4602,1.2193,0.0,32746,31592,34.063,85.76,83.863,38536,42485,29258,530,6,1,20793,0.0
22.20:04:14,140,0.0,0.9365,0.0,33215,14349,9742,4607,1.2193,0.0,32778,31581,34.063,85.76,83.863,38540,42479,29310,501,6,1,20793,0.0
22.20:04:24,150,0.0,0.9358,0.0,33047,14380,9748,4632,1.2193,0.0,32817,31580,34.063,85.76,83.863,38546,42480,29316,533,6,1,20793,0.0
22.20:04:34,160,0.0,0.9358,0.0,33074,14369,9762,4607,1.2193,0.0,32739,31580,34.031,85.76,83.863,38547,42489,29245,504,5,1,20793,0.0
22.20:04:44,170,0.0,0.9358,0.0,33139,14353,9765,4588,1.2193,0.0,32797,31621,34.031,85.76,83.863,38553,42482,29336,522,5,1,20793,0.0
22.20:04:54,180,0.0,0.9358,0.0,33120,14364,9753,4611,1.2193,0.0,32821,31557,34.063,85.76,83.863,38558,42484,29310,505,6,1,20793,0.0
22.20:05:04,190,0.0,0.9358,0.0,33048,14376,9755,4621,1.2193,0.0,32787,31609,34.063,85.76,83.863,38554,42485,29287,502,6,1,20793,0.0
22.20:05:14,200,0.0,0.9358,0.0,33150,14354,9759,4595,1.2193,0.0,32821,31598,34.031,85.76,83.863,38560,42495,29372,517,5,1,20793,0.0
22.20:05:24,210,0.0,0.9358,0.0,33164,14355,9759,4596,1.2193,0.0,32799,31585,34.031,85.76,83.863,38563,42488,29332,521,5,1,20793,0.0
22.20:05:34,220,0.0,0.9358,0.0,33063,14365,9740,4625,1.2193,0.0,32759,31572,34.063,85.76,83.863,38549,42489,29235,525,6,1,20793,0.0
22.20:05:44,230,0.0,0.9358,0.0,33068,14370,9760,4610,1.2193,0.0,32804,31589,34.031,85.76,83.863,38557,42490,29331,516,5,1,20793,0.0
22.20:05:54,240,0.0,0.9365,0.0,33171,14356,9748,4608,1.2193,0.0,32826,31596,34.031,85.76,83.863,38559,42483,29304,514,5,1,20793,0.0
22.20:06:04,250,0.0,0.9358,0.0,33198,14361,9751,4610,1.2193,0.0,32769,31590,34.031,85.76,83.863,38555,42485,29316,515,5,1,20793,0.0
22.20:06:14,260,0.0,0.9358,0.0,33114,14342,9757,4585,1.2193,0.0,32779,31612,34.031,85.76,83.863,38554,42493,29346,514,5,1,20793,0.0
22.20:06:24,270,0.0,0.9358,0.0,33069,14374,9765,4609,1.2193,0.0,32794,31575,34.031,85.76,83.863,38563,42494,29291,503,5,1,20793,0.0
22.20:06:34,280,0.0,0.9358,0.0,33103,14353,9757,4596,1.2193,0.0,32764,31593,34.031,85.76,83.863,38559,42487,29268,511,5,1,20793,0.0
22.20:06:44,290,0.0,0.9358,0.0,33142,14358,9744,4614,1.2193,0.0,32782,31585,34.031,85.76,83.863,38560,42496,29298,499,5,1,20793,0.0
22.20:06:54,300,0.0,0.9358,0.0,33085,14357,9772,4585,1.2193,0.0,32813,31601,34.031,85.76,83.863,38570,42497,29318,504,5,1,20793,0.0
22.20:07:04,310,0.0,0.9352,0.0,33174,14352,9762,4590,1.2193,0.0,32781,31605,34.031,85.76,83.863,38560,42498,29286,503,5,1,20793,0.0
22.20:07:14,320,0.0,0.9358,0.0,33141,14362,9755,4607,1.2179,0.0,32766,31565,34.031,85.76,83.863,38559,42499,29280,516,5,1,20793,0.0
