DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
08.17:45:41,0,0.0,0.9885,0.0,32984,14092,10090,4002,1.2878,0.0,35365,33518,34.063,98.23299999999999,83.059,46497,40218,28030,500,0,0,17870,0.0
08.17:45:51,10,0.0,0.9878,0.0,32995,14101,10121,3980,1.2878,0.0,35341,33482,34.094,98.23299999999999,83.06,46498,40210,28008,492,0,0,17870,0.0
08.17:46:01,20,0.0,0.9878,0.0,32965,14076,10103,3973,1.2878,0.0,35335,33481,34.094,98.23700000000001,83.059,46492,40217,27993,500,0,0,17870,0.0
08.17:46:11,30,0.0,0.9885,0.0,33070,14105,10111,3994,1.2878,0.0,35342,33481,34.094,98.234,83.059,46494,40217,27984,495,0,0,17870,0.0
08.17:46:21,40,0.0,0.9878,0.0,33003,14113,10111,4002,1.2878,0.0,35342,33490,34.094,98.23200000000001,83.06,46482,40201,28003,498,0,0,17870,0.0
08.17:46:31,50,0.0,0.9878,0.0,32946,14091,10093,3998,1.2878,0.0,35353,33505,34.094,98.23299999999999,83.06,46488,40200,28042,502,0,0,17870,0.0
08.17:46:41,60,0.0,0.9878,0.0,32929,14104,10119,3985,1.2878,0.0,35326,33519,34.094,98.236,83.06,46489,40200,27995,509,0,0,17870,0.0
08.17:46:51,70,0.0,0.9878,0.0,32999,14077,10093,3984,1.2878,0.0,35344,33463,34.094,98.234,83.06,46485,40208,28017,498,0,0,17870,0.0
08.17:47:01,80,0.0,0.9885,0.0,32950,14083,10107,3976,1.2878,0.0,35334,33473,34.094,98.23299999999999,83.06,46481,40207,28005,512,0,0,17870,0.0
08.17:47:11,90,0.0,0.9871,0.0,30607,14085,10098,3987,1.2878,0.0,35339,33479,34.094,98.234,83.06,46484,40206,28013,510,0,0,17870,0.0
08.17:47:21,100,0.0,0.9878,0.0,30563,14077,10094,3983,1.2878,0.0,35329,33485,34.094,98.236,83.06,46481,40190,28004,506,0,0,17870,0.0
08.17:47:31,110,0.0,0.9878,0.0,32947,14092,10093,3999,1.2878,0.0,35314,33479,34.094,98.234,83.059,46483,40213,28006,505,0,0,17870,0.0
08.17:47:41,120,0.0,0.9878,0.0,32992,14070,10106,3964,1.2878,0.0,35316,33463,34.094,98.234,83.06,46485,40205,27991,496,0,0,17870,0.0
08.17:47:51,130,0.0,0.9885,0.0,33023,14088,10102,3986,1.2878,0.0,35271,33482,34.094,98.235,83.06,46477,40204,27897,501,0,0,17870,0.0
08.17:48:01,140,0.0,0.9878,0.0,33354,14106,10111,3995,1.2878,0.0,35326,33479,34.094,98.236,83.06,46487,40196,28010,495,0,0,17870,0.0
08.17:48:11,150,0.0,0.9871,0.0,30577,14073,10078,3995,1.2878,0.0,35300,33459,34.094,98.235,83.06,46476,40187,27975,498,0,0,17870,0.0
08.17:48:21,160,0.0,0.9885,0.0,30708,14083,10097,3986,1.2878,0.0,35356,33466,34.094,98.234,83.06,46484,40202,28060,499,0,0,17870,0.0
08.17:48:31,170,0.0,0.9885,0.0,30651,14081,10112,3969,1.2878,0.0,35311,33477,34.094,98.234,83.06,46480,40186,27934,497,0,0,17870,0.0
08.17:48:41,180,0.0,0.9885,0.0,30744,14108,10110,3998,1.2878,0.0,35315,33482,34.094,98.236,83.06,46480,40194,27967,512,0,0,17870,0.0
08.17:48:51,190,0.0,0.9885,0.0,33064,14099,10106,3993,1.2878,0.0,35310,33481,34.125,98.234,83.06,46477,40201,27970,491,0,0,17870,0.0
08.17:49:01,200,0.0,0.9878,0.0,33009,14087,10102,3985,1.2878,0.0,35346,33476,34.125,98.235,83.06,46476,40192,28050,497,0,0,17870,0.0
08.17:49:11,210,0.0,0.9885,0.0,32924,14087,10105,3982,1.2878,0.0,35321,33484,34.094,98.23299999999999,83.06,46470,40192,27999,490,0,0,17870,0.0
08.17:49:21,220,0.0,0.9885,0.0,34074,14030,10131,3899,1.2878,0.0,35338,33492,34.125,98.236,83.06,46480,40199,28016,505,0,0,17870,0.0
08.17:49:31,230,0.0,0.9885,0.0,30684,14088,10112,3976,1.2878,0.0,35362,33468,34.094,98.234,83.059,46477,40206,28077,505,0,0,17870,0.0
08.17:49:41,240,0.0,0.9885,0.0,30528,14098,10101,3997,1.2878,0.0,35339,33480,34.125,98.234,83.06,46470,40190,28019,514,0,0,17870,0.0
08.17:49:51,250,0.0,0.9878,0.0,33058,14100,10113,3987,1.2878,0.0,35336,33452,34.125,98.23299999999999,83.059,46470,40205,28024,484,0,0,17870,0.0
08.17:50:01,260,0.0,0.9885,0.0,34080,14070,10092,3978,1.2878,0.0,35324,33459,34.125,98.236,83.06,46468,40196,28004,501,0,0,17870,0.0
08.17:50:11,270,0.0,0.9878,0.0,33057,14099,10114,3985,1.2878,0.0,35351,33501,34.125,98.234,83.06,46467,40188,28006,498,0,0,17870,0.0
08.17:50:21,280,0.0,0.9885,0.0,32996,14072,10096,3976,1.2878,0.0,35309,33423,34.125,98.234,83.06,46471,40180,27998,498,0,0,17870,0.0
08.17:50:31,290,0.0,0.9885,0.0,33103,14084,10085,3999,1.2878,0.0,35338,33432,34.125,98.23299999999999,83.059,46469,40203,28051,497,0,0,17870,0.0
08.17:50:41,300,0.0,0.9892,0.0,33055,14068,10089,3979,1.2878,0.0,35328,33464,34.125,98.235,83.06,46469,40194,28025,492,0,0,17870,0.0
08.17:50:51,310,0.0,0.9885,0.0,33017,14091,10101,3990,1.2878,0.0,35321,33487,34.125,98.235,83.06,46470,40186,27998,499,0,0,17870,0.0
08.17:51:01,320,0.0,0.9885,0.0,32912,14054,10084,3970,1.2878,0.0,35360,33483,34.125,98.23299999999999,83.059,46468,40200,28078,512,0,0,17870,0.0
08.17:51:11,330,0.0,0.9885,0.0,33066,14086,10092,3994,1.2878,0.0,35330,33477,34.125,98.23299999999999,83.06,46464,40184,28016,492,0,0,17870,0.0
08.17:51:21,340,0.0,0.9885,0.0,33066,14093,10083,4010,1.2878,0.0,35325,33408,34.125,98.235,83.06,46468,40184,27990,503,0,0,17870,0.0
08.17:51:31,350,0.0,0.9885,0.0,33071,14093,10102,3991,1.2878,0.0,35332,33449,34.094,98.235,83.06,46468,40191,28014,501,0,0,17870,0.0
08.17:51:41,360,0.0,0.9878,0.0,33017,14061,10048,4013,1.2878,0.0,35308,33468,34.125,98.235,83.06,46470,40183,27979,505,0,0,17870,0.0
08.17:51:51,370,0.0,0.9878,0.0,32946,14092,10105,3987,1.2878,0.0,35366,33469,34.125,98.234,83.06,46479,40191,28082,496,0,0,17870,0.0
08.17:52:01,380,0.0,0.9892,0.0,32952,14096,10110,3986,1.2878,0.0,35386,33471,34.125,98.236,83.06,46484,40191,28083,498,0,0,17870,0.0
08.17:52:11,390,0.0,0.9885,0.0,33050,14053,10087,3966,1.2878,0.0,35311,33431,34.125,98.234,83.059,46461,40198,27962,492,0,0,17870,0.0
08.17:52:21,400,0.0,0.9878,0.0,33016,14082,10107,3975,1.2878,0.0,35342,33461,34.094,98.23299999999999,83.06,46467,40190,28002,499,0,0,17870,0.0
08.17:52:31,410,0.0,0.9878,0.0,33062,14101,10126,3975,1.2878,0.0,35321,33448,34.125,98.234,83.06,46480,40182,27962,485,0,0,17870,0.0
08.17:52:41,420,0.0,0.9885,0.0,32970,14083,10103,3980,1.2878,0.0,35330,33480,34.125,98.235,83.06,46463,40190,27998,485,0,0,17870,0.0
08.17:52:51,430,0.0,0.9885,0.0,33043,14094,10100,3994,1.2878,0.0,35323,33487,34.125,98.234,83.06,46467,40182,27981,501,0,0,17870,0.0
08.17:53:01,440,0.0,0.9885,0.0,33051,14101,10109,3992,1.2878,0.0,35337,33474,34.125,98.234,83.06,46474,40189,28010,494,0,0,17870,0.0
08.17:53:11,450,0.0,0.9878,0.0,33009,14083,10113,3970,1.2878,0.0,35300,33451,34.125,98.234,83.06,46464,40174,27967,489,0,0,17870,0.0
08.17:53:21,460,0.0,0.9885,0.0,33079,14093,10101,3992,1.2878,0.0,35330,33406,34.125,98.236,83.06,46469,40181,28032,522,0,0,17870,0.0
08.17:53:31,470,0.0,0.9878,0.0,33143,14073,10103,3970,1.2878,0.0,35344,33469,34.125,98.234,83.06,46471,40181,28057,493,0,0,17870,0.0
