DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
28.16:49:18,0,0.0,1.5319,0.0,33802,15758,7252,8506,1.4399,0.0,30705,28881,34.438,91.888,82.852,41321,42907,25282,598,0,0,19650,0.0
28.16:49:29,10,0.0,1.5313,0.0,33472,15672,6971,8701,1.4399,0.0,30574,28875,34.469,91.893,82.852,41286,42908,25186,620,0,0,19650,0.0
28.16:49:39,20,0.0,1.5306,0.0,33578,15753,7097,8656,1.4399,0.0,30634,28859,34.469,91.891,82.852,41311,42908,25175,647,0,0,19650,0.0
28.16:49:49,30,0.0,1.5313,0.0,33467,15756,7127,8629,1.4412,0.0,30669,28883,34.469,91.891,82.852,41307,42908,25215,650,0,0,19650,0.0
28.16:49:59,40,0.0,1.5319,0.0,33225,15704,7072,8632,1.4399,0.0,30643,28896,34.469,91.888,82.852,41279,42908,25274,583,0,0,19650,0.0
28.16:50:09,50,0.0,1.5319,0.0,33114,15728,7061,8667,1.4412,0.0,30628,28890,34.469,91.892,82.852,41310,42908,25197,635,0,0,19650,0.0
28.16:50:19,60,0.0,1.534,0.0,33457,15727,7114,8613,1.4399,0.0,30616,28899,34.469,91.891,82.852,41322,42908,25219,575,0,0,19650,0.0
28.16:50:29,70,0.0,1.5306,0.0,33517,15659,7004,8655,1.4399,0.0,30502,28865,34.438,91.891,82.852,41319,42908,25114,637,0,0,19650,0.0
28.16:50:39,80,0.0,1.5333,0.0,33475,15748,7127,8621,1.4399,0.0,30576,28894,34.469,91.891,82.852,41316,42907,25244,629,0,0,19650,0.0
28.16:50:49,90,0.0,1.5326,0.0,33407,15667,7112,8555,1.4399,0.0,30580,28885,34.438,91.893,82.852,41302,42907,25287,571,0,0,19650,0.0
28.16:50:59,100,0.0,1.5319,0.0,33473,15680,7049,8631,1.4399,0.0,30665,28884,34.469,91.896,82.852,41311,42907,25316,648,0,0,19650,0.0
28.16:51:09,110,0.0,1.5313,0.0,27954,15735,7127,8608,1.4399,0.0,30642,28889,34.469,91.892,82.852,41300,42906,25218,631,0,0,19650,0.0
28.16:51:19,120,0.0,1.5326,0.0,33333,15688,7059,8629,1.4399,0.0,30570,28870,34.469,91.889,82.852,41308,42906,25171,649,0,0,19650,0.0
